FineTek_ID,0x1000,STRING,8,1
Product_Type,0x1004,UINT16,1,2
Product_Number,0x1005,UINT16,1,3
Product_Version,0x1006,UINT16,1,4
Display_Value1,0x1007,FLOAT,1,5
Unit_Type1,0x1009,UINT16,1,6
Display_Value2,0x100a,FLOAT,1,7
Unit_Type2,0x100c,UINT16,1,8
Display_Value3,0x100d,FLOAT,1,9
Unit_Type3,0x100f,UINT16,1,10
Display_Value4,0x1010,FLOAT,1,11
Unit_Type4,0x1012,UINT16,1,12
DDF_StartAddress,0x1013,UINT16,1,13
ReadOnly_Start_Address,0x1014,UINT16,1,14
ReadOnly_Length,0x1015,UINT16,1,15
ReadWrite_Start_Address,0x1016,UINT16,1,16
ReadWrite_Length,0x1017,UINT16,1,17
PFC_DISPLAY_VALUE,0x1018,FLOAT,1,18
PFC_MODBUS_ID,0x101a,UINT16,1,19
PFC_MODBUS_BAUDRATE,0x101b,UINT16,1,20
PFC_3_DOT_5_MA,0x101c,UINT16,1,21
PFC_4_MA,0x101d,UINT16,1,22
PFC_12_MA,0x101e,UINT16,1,23
PFC_20_MA,0x101f,UINT16,1,24
PFC_22_MA,0x1020,UINT16,1,25
PFC_4MA_OFFSET,0x1021,UINT16,1,26
PFC_20MA_OFFSET,0x1022,UINT16,1,27
PFC_CURRNET_LOCK_VALUE,0x1023,UINT16,1,28
PFC_SAVE_SYSTEM_VAR_TO_EEPROM,0x1024,UINT16,1,29
PFC_LOAD_DEFAULT_SETTING,0x1025,UINT16,1,30
PFC_LOAD_FIRMWARE_SETTING,0x1026,UINT16,1,31
PFC_SAVE_CALIBRATION_SETTING,0x1027,UINT16,1,32
PFC_SEC,0x1028,UINT16,1,33
PFC_MIN,0x1029,UINT16,1,34
PFC_HOUR,0x102a,UINT16,1,35
PFC_DAY,0x102b,UINT16,1,36
PFC_MONTH,0x102c,UINT16,1,37
PFC_YEAR,0x102d,UINT16,1,38
